"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ty Chandler","MIN","16.6","89.9","0.6","5.6","39.5","0.2","0.0","17.6"
"Chris Rodriguez Jr.","WAS","19.9","101.0","0.9","1.8","13.6","0.0","0.0","17.2"
"Montrell Johnson Jr.","PHI","0.0","95.0","1.0","2.0","14.0","0.0","0.0","16.9"
"Michael Carter","ARI","9.6","68.8","0.5","7.7","52.0","0.3","0.0","16.7"
"Pierre Strong Jr.","CLE","25.2","83.2","0.3","6.9","52.6","0.2","0.0","16.7"
"Damien Martinez","SEA","8.6","103.0","0.6","3.0","22.0","0.0","0.0","16.3"
"Kalel Mullings","TEN","8.3","100.7","0.6","3.0","21.8","0.0","0.0","16.1"
"Patrick Taylor Jr.","SF","29.0","96.4","0.4","3.9","29.1","0.2","0.0","16.0"
"Ameer Abdullah","SF","0.0","47.5","0.5","6.5","46.0","0.5","0.0","15.4"
"Alec Ingold","MIA","11.0","21.9","0.8","7.4","53.3","0.4","0.4","13.9"
"Rasheen Ali","BAL","5.2","80.8","0.6","2.4","17.7","0.1","0.0","13.6"
"Craig Reynolds","DET","8.5","41.3","0.1","7.3","59.1","0.4","0.0","13.1"
"Michael Burton","DEN","6.7","14.6","0.6","7.1","45.6","0.6","0.0","13.0"
"Jeremy McNichols","WAS","19.7","73.6","0.7","2.0","9.7","0.0","0.0","12.8"
"Carson Steele","KC","27.2","83.7","0.6","4.6","25.6","0.1","1.0","12.7"
"Dare Ogunbowale","HOU","4.3","28.8","0.1","8.3","61.3","0.5","0.0","12.5"
"Travis Homer","CHI","22.2","71.5","0.3","3.4","25.2","0.1","0.0","12.3"
"Raheem Blackshear","CAR","23.4","72.8","0.4","3.2","23.7","0.1","0.5","11.5"
"C.J. Ham","MIN","3.0","13.6","1.0","5.3","34.8","0.1","0.0","11.3"
"Sincere McCormick","LV","23.7","70.9","0.3","3.3","22.4","0.1","0.1","11.3"
"Kimani Vidal","LAC","6.7","59.0","0.5","2.7","19.4","0.0","0.0","10.7"
"LeQuint Allen Jr.","JAC","4.0","50.9","0.6","3.0","22.0","0.0","0.0","10.6"
"Jordan Mims","TEN","14.8","62.0","0.3","2.0","14.1","0.1","0.0","9.9"
"Ronnie Rivers","LAR","22.6","71.0","0.3","0.3","2.3","0.0","0.0","9.4"
"Julius Chestnut","TEN","9.9","41.2","0.1","4.7","34.3","0.2","0.0","9.3"
"Israel Abanikanda","GB","13.3","55.1","0.4","1.3","10.7","0.1","0.0","9.2"
"Hassan Haskins","LAC","15.5","39.3","0.3","1.0","11.3","0.3","0.0","9.1"
"Kenny McIntosh","SEA","7.8","33.6","0.2","4.2","31.9","0.2","0.0","8.8"
"Frank Gore Jr.","BUF","10.2","42.8","0.2","1.9","14.9","0.1","0.0","7.7"
"Jashaun Corbin","ATL","9.3","40.2","0.3","2.1","14.2","0.1","0.1","7.7"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.4","27.7","0.5","0.0","7.4"
"Deuce Vaughn","DAL","9.0","35.3","0.1","3.5","25.0","0.1","0.0","7.3"
"Gary Brightwell","CIN","8.1","33.8","0.2","2.4","17.0","0.1","0.0","7.0"
"DeeJay Dallas","ARI","5.8","30.1","0.1","4.8","33.1","0.1","0.5","6.3"
"Eric Gray","NYG","11.9","42.7","0.2","2.3","17.5","0.1","0.5","6.3"
"Hunter Luepke","DAL","4.2","14.6","0.1","3.9","28.3","0.1","0.0","5.1"
"Darrynton Evans","BUF","5.1","21.3","0.1","1.9","15.4","0.1","0.0","4.9"
"J.J. Taylor","HOU","0.0","0.0","0.0","4.2","28.1","0.2","0.0","4.1"
"Trey Sermon","PIT","5.0","20.8","0.1","1.6","11.5","0.1","0.0","3.9"
"Troy Hairston II","CLE","2.2","9.8","0.1","2.3","17.9","0.1","0.0","3.8"
"Scott Matlock","LAC","0.0","0.0","0.0","4.3","29.2","0.1","0.0","3.7"
"Zonovan Knight","NYJ","2.4","10.0","0.1","2.2","15.3","0.1","0.0","3.6"
"Elijah Dotson","ATL","2.6","10.9","0.1","2.0","14.1","0.1","0.0","3.5"
"Velus Jones Jr.","NO","2.4","10.5","0.1","1.9","13.6","0.1","0.0","3.4"
"Terrell Jennings","NE","2.4","10.1","0.1","1.9","14.6","0.1","0.0","3.3"
"Tyler Badie","DEN","0.0","20.5","0.0","1.5","11.0","0.0","0.0","3.2"
"Marcus Yarns","NO","0.0","21.0","0.0","1.0","7.0","0.0","0.0","2.8"
"Lan Larison","NE","0.0","14.5","0.0","1.5","11.0","0.0","0.0","2.6"
"Dylan Laube","LV","0.0","12.5","0.0","1.5","11.0","0.0","0.0","2.4"
"Sione Vaki","DET","0.0","11.0","0.0","1.5","11.5","0.0","0.0","2.3"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","15.0","0.1","0.0","1.9"
"Avery Williams","PHI","1.4","9.7","0.0","1.8","12.7","0.1","0.5","1.6"
"Keilan Robinson","PHI","0.0","8.5","0.0","1.0","7.0","0.0","0.0","1.6"
"Donovan Edwards","NYJ","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Corey Kiner","SF","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Phil Mafah","DAL","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Raheim Sanders","LAC","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Carlos Washington Jr.","ATL","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Nyheim Miller-Hines","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Williams","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"George Holani","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
