"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Anthony Miller","BAL","25.0","281.7","2.5","0.0","0.0","0.0","0.0","43.3"
"Devaughn Vele","DEN","28.6","306.9","2.1","0.0","1.0","0.0","0.1","43.2"
"Tim Patrick","DET","22.9","289.9","2.2","0.0","0.0","0.0","0.1","42.3"
"Kayshon Boutte","NE","22.5","301.4","2.0","0.0","0.0","0.0","0.0","41.9"
"Greg Dortch","ARI","27.3","265.3","2.1","4.8","30.6","0.1","0.4","41.8"
"Tai Felton","MIN","23.4","284.2","2.2","0.0","5.0","0.0","0.0","41.8"
"Van Jefferson","TEN","24.2","308.3","1.9","0.0","0.0","0.0","0.1","41.8"
"Malik Washington","MIA","27.5","293.4","1.8","2.0","13.8","0.1","0.6","41.0"
"Xavier Hutchinson","HOU","26.1","283.1","1.9","0.0","0.0","0.0","0.0","39.8"
"Roman Wilson","PIT","21.8","276.7","1.9","0.0","0.0","0.0","0.1","39.0"
"Chimere Dike","TEN","19.9","262.4","1.6","2.1","12.4","0.0","0.1","37.1"
"KaVontae Turpin","DAL","16.2","207.2","1.4","8.5","58.6","0.5","0.7","36.6"
"Jermaine Burton","CIN","18.8","249.6","1.8","0.0","2.0","0.0","0.1","35.5"
"Jalen Royals","KC","20.4","241.0","1.9","0.0","0.0","0.0","0.0","35.4"
"Parker Washington","JAC","22.7","251.1","1.6","0.0","4.0","0.0","0.1","34.8"
"JuJu Smith-Schuster","KC","23.4","250.0","1.7","0.0","0.0","0.0","0.1","34.7"
"Rondale Moore","MIN","20.6","213.5","1.5","8.6","38.2","0.0","0.0","34.0"
"Tyler Johnson","NYJ","21.6","239.4","1.6","0.0","0.0","0.0","0.0","33.8"
"Kendrick Bourne","NE","20.5","237.9","1.6","1.1","5.2","0.0","0.1","33.7"
"Malachi Corley","NYJ","19.4","202.0","1.3","2.3","23.5","0.1","0.1","30.7"
"Jake Bobo","SEA","18.3","212.6","1.5","0.0","0.0","0.0","0.1","30.1"
"Ja'Lynn Polk","NE","18.3","213.3","1.4","0.0","0.0","0.0","0.0","29.7"
"Robert Woods","PIT","20.8","221.7","1.2","0.0","0.0","0.0","0.1","29.4"
"Luke McCaffrey","WAS","19.3","202.1","1.5","0.0","1.0","0.0","0.1","28.9"
"Zay Jones","ARI","18.1","192.6","1.3","0.0","2.0","0.0","0.1","27.4"
"A.T. Perry","DEN","13.7","181.2","1.5","0.0","0.0","0.0","0.0","27.0"
"Tory Horton","SEA","16.1","199.7","1.1","0.0","0.0","0.0","0.0","26.6"
"Savion Williams","GB","13.1","157.9","1.3","4.4","23.4","0.1","0.0","26.3"
"Derius Davis","LAC","13.3","153.9","1.0","10.5","47.4","0.2","0.6","26.2"
