autoDraftTypeId,id,lineupSlotId,overallPickNumber,player_id,roundId,roundPickNumber,team_id,year,league_id
0,162,16,162,-16017,14,6,15,2023,780575
2,163,20,163,3116164,14,7,10,2023,780575
0,164,20,164,3929645,14,8,11,2023,780575
0,165,20,165,3051926,14,9,13,2023,780575
0,166,20,166,3128390,14,10,4,2023,780575
0,167,20,167,3918639,14,11,6,2023,780575
0,168,20,168,4362087,14,12,12,2023,780575
0,169,20,169,4372414,15,1,12,2023,780575
0,170,20,170,16757,15,2,6,2023,780575
0,171,20,171,-16005,15,3,4,2023,780575
0,172,17,172,15965,15,4,13,2023,780575
0,173,20,173,3916566,15,5,11,2023,780575
0,174,20,174,4241416,15,6,10,2023,780575
3,175,20,175,4569987,15,7,15,2023,780575
0,176,20,176,4371733,15,8,14,2023,780575
0,177,20,177,3125116,15,9,1,2023,780575
3,178,17,178,4249087,15,10,9,2023,780575
0,179,20,179,3121427,15,11,3,2023,780575
3,180,16,180,-16020,15,12,8,2023,780575
