,player_name,player_id,pro_team,projected_points,year,eligible_slots,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_rushing2PtConversions,proj_27,proj_28,proj_29,proj_30,proj_31,proj_33,proj_34,proj_rushing40PlusYardTD,proj_rushing50PlusYardTD,proj_rushing100To199YardGame,proj_rushing200PlusYardGame,proj_rushingYardsPerAttempt,proj_receivingYards,proj_receivingTouchdowns,proj_receiving2PtConversions,proj_receiving40PlusYardTD,proj_receiving50PlusYardTD,proj_47,proj_48,proj_49,proj_50,proj_51,proj_receivingReceptions,proj_receiving100To199YardGame,proj_receiving200PlusYardGame,proj_receivingTargets,proj_receivingYardsPerReception,proj_2PtConversions,proj_fumbleRecoveredForTD,proj_66,proj_67,proj_fumbles,proj_70,proj_71,proj_lostFumbles,proj_turnovers,proj_210,proj_211,proj_212,proj_passingAttempts,proj_passingCompletions,proj_passingIncompletions,proj_passingYards,proj_passingTouchdowns,proj_5,proj_6,proj_7,proj_8,proj_9,proj_10,proj_11,proj_12,proj_passing40PlusYardTD,proj_passing50PlusYardTD,proj_passing300To399YardGame,proj_passing400PlusYardGame,proj_passing2PtConversions,proj_passingInterceptions,proj_passingCompletionPercentage,proj_passingTimesSacked,proj_65,proj_69,proj_madeFieldGoalsFrom50Plus,proj_attemptedFieldGoalsFrom50Plus,proj_missedFieldGoalsFrom50Plus,proj_madeFieldGoalsFrom40To49,proj_attemptedFieldGoalsFrom40To49,proj_missedFieldGoalsFrom40To49,proj_madeFieldGoalsFromUnder40,proj_attemptedFieldGoalsFromUnder40,proj_missedFieldGoalsFromUnder40,proj_madeFieldGoals,proj_attemptedFieldGoals,proj_missedFieldGoals,proj_madeExtraPoints,proj_attemptedExtraPoints,proj_missedExtraPoints,proj_198,proj_199,proj_200,proj_214,proj_215,proj_216,proj_defensive0PointsAllowed,proj_defensive1To6PointsAllowed,proj_defensive7To13PointsAllowed,proj_defensive14To17PointsAllowed,proj_defensiveBlockedKickForTouchdowns,proj_defensiveTouchdowns,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveBlockedKicks,proj_defensiveSafeties,proj_defensiveSacks,proj_100,proj_kickoffReturnTouchdowns,proj_puntReturnTouchdowns,proj_interceptionReturnTouchdowns,proj_fumbleReturnTouchdowns,proj_defensivePlusSpecialTeamsTouchdowns,proj_defensiveForcedFumbles,proj_defensiveTotalTackles,proj_110,proj_111,proj_112,proj_defensivePassesDefensed,proj_kickoffReturnYards,proj_puntReturnYards,proj_116,proj_117,proj_puntsReturned,proj_119,proj_defensivePointsAllowed,proj_defensive18To21PointsAllowed,proj_defensive22To27PointsAllowed,proj_defensive28To34PointsAllowed,proj_defensive35To45PointsAllowed,proj_defensive45PlusPointsAllowed,proj_126,proj_defensiveYardsAllowed,proj_defensive100To199YardsAllowed,proj_defensive200To299YardsAllowed,proj_defensive300To349YardsAllowed,proj_defensive350To399YardsAllowed,proj_defensive400To449YardsAllowed,proj_defensive450To499YardsAllowed,proj_defensive500To549YardsAllowed,proj_defensive550PlusYardsAllowed,proj_137,proj_defensiveAssistedTackles,proj_defensiveSoloTackles
422,Dominic Zvada,5082424,NYG,137.38,2026,"['Rookie', 'K', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.678629516,8.206112017,2.527482501,7.530866229,9.378413734,1.847547506,16.1515593,16.89493651,0.743377206,29.36105505,34.47946226,5.118407213,35.5225556,37.04124672,1.518691115,5.678629516,8.206112017,2.527482501,1130.081753,241.925009,1372.006762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Erick All Jr.,4427834,CIN,39.54,2026,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,9.159732212,1.233261153,0.057699578,0.094980811,0.06206996,31.0,15.0,7.0,6.0,3.0,17.25790469,0.060101145,0.001858798,22.88181535,9.022847813,0.057699578,0.000928596,,0.211044435,0.211044435,,0.118184884,0.118184884,0.118184884,17.0,,7.582256417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Tyrod Taylor,14163,GB,8.58,2026,"['QB', 'OP', 'BE', 'IR']",2.262328531,0.727283688,0.069517896,0.001894399,2.0,1.0,,,,,,0.004154008,0.002907806,0.000303238,1.03483e-05,5.465087198,,,,,,,,,,,,,,,,0.035077955,0.0014,0.029561963,,0.31773253,0.013598503,,0.151920375,0.668299869,17.0,2.678727572,,19.96708492,12.75074823,7.216336691,8.007035303,0.856154677,27.0,13.0,6.0,5.0,2.0,1.0,2.0,1.0,0.084725134,0.055367875,0.204106809,0.027569478,0.033183555,0.516379494,0.638588371,2.086135841,0.288170567,0.138321872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Jahdae Walker,5160110,CHI,8.11,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,2.091640489,0.327426768,0.02175194,0.101575787,0.066379777,7.0,3.0,1.0,1.0,,3.170103099,0.019040138,0.00058887,5.140645909,11.21663467,0.02175194,0.000254206,,0.057774071,0.057774071,,0.03235348,0.03235348,0.03235348,17.0,,0.687297856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Mason Rudolph,3116407,PIT,0.0,2026,"['QB', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Treylon Burks,4567156,WSH,80.95,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,23.15481559,2.290931051,0.178756899,0.236368038,0.154466513,78.0,39.0,19.0,15.0,7.0,28.29686411,0.214221973,0.006625422,46.44441953,13.91079462,0.178756899,0.001815267,,0.412560722,0.412560722,,0.231034005,0.231034005,0.231034005,17.0,,17.09169867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Austin Hooper,3043275,ATL,43.32,2026,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,10.64916086,0.826468313,0.048496671,0.082703424,0.054046688,36.0,18.0,9.0,7.0,3.0,20.5314292,0.068057045,0.002104857,27.37414916,8.817493064,0.048496671,0.001086626,,0.246960396,0.246960396,,0.138297822,0.138297822,0.138297822,17.0,,8.860290868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Elijah Higgins,4426844,ARI,42.79,2026,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,10.71714689,0.682978538,0.037528081,0.070909908,0.046339625,36.0,18.0,9.0,7.0,3.0,20.90766341,0.068447971,0.002116948,28.6427033,8.71410131,0.037528081,0.001187463,,0.269877896,0.269877896,,0.151131622,0.151131622,0.151131622,17.0,,8.919243241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Tai Felton,4565185,MIN,8.31,2026,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,2.180005141,0.235532552,0.013821763,0.088699289,0.057964986,7.0,3.0,1.0,1.0,,3.715238966,0.019734602,0.000610349,5.530673524,9.975155769,0.013821763,0.00029792,,0.06770899,0.06770899,,0.037917034,0.037917034,0.037917034,17.0,,0.815400078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037177162,,,,,,,,,,,332.030517,,33.0,13.0,,,,,,,,,,,,,,,,,,,,,
431,Riley Nowakowski,4693370,PIT,7.18,2026,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",,,,,,,,,,,,,,,,,1.709253846,0.15917469,0.004874209,0.03561358,0.023273475,5.0,2.0,1.0,1.0,,4.258882379,0.015941263,0.000493029,5.66795834,6.822756019,0.004874209,0.000160338,,0.036440545,0.036440545,,0.020406705,0.020406705,0.020406705,17.0,,0.687405352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
